Model,Dataset,Sample,F1 Bin,Count
poisson,plant,5,50–60,20
poisson,plant,6,50–60,19
kmerprofile,plant,5,50–60,50
kmerprofile,plant,6,50–60,38
nonlinear,plant,5,50–60,3
nonlinear,plant,6,50–60,5
tfidf_umap,plant,5,50–60,41
tfidf_umap,plant,6,50–60,38
poisson,marine,5,50–60,47
poisson,marine,6,50–60,43
kmerprofile,marine,5,50–60,152
kmerprofile,marine,6,50–60,158
nonlinear,marine,5,50–60,3
nonlinear,marine,6,50–60,2
tfidf_umap,marine,5,50–60,158
tfidf_umap,marine,6,50–60,169
poisson,reference,5,50–60,67
poisson,reference,6,50–60,72
kmerprofile,reference,5,50–60,87
kmerprofile,reference,6,50–60,98
nonlinear,reference,5,50–60,63
nonlinear,reference,6,50–60,67
tfidf_umap,reference,5,50–60,176
tfidf_umap,reference,6,50–60,186
poisson,plant,5,60–70,15
poisson,plant,6,60–70,18
kmerprofile,plant,5,60–70,41
kmerprofile,plant,6,60–70,36
nonlinear,plant,5,60–70,1
nonlinear,plant,6,60–70,3
tfidf_umap,plant,5,60–70,35
tfidf_umap,plant,6,60–70,32
poisson,marine,5,60–70,31
poisson,marine,6,60–70,26
kmerprofile,marine,5,60–70,132
kmerprofile,marine,6,60–70,137
nonlinear,marine,5,60–70,1
nonlinear,marine,6,60–70,2
tfidf_umap,marine,5,60–70,134
tfidf_umap,marine,6,60–70,144
poisson,reference,5,60–70,48
poisson,reference,6,60–70,40
kmerprofile,reference,5,60–70,76
kmerprofile,reference,6,60–70,88
nonlinear,reference,5,60–70,37
nonlinear,reference,6,60–70,46
tfidf_umap,reference,5,60–70,157
tfidf_umap,reference,6,60–70,163
poisson,plant,5,70–80,12
poisson,plant,6,70–80,14
kmerprofile,plant,5,70–80,39
kmerprofile,plant,6,70–80,32
nonlinear,plant,5,70–80,0
nonlinear,plant,6,70–80,3
tfidf_umap,plant,5,70–80,32
tfidf_umap,plant,6,70–80,28
poisson,marine,5,70–80,19
poisson,marine,6,70–80,16
kmerprofile,marine,5,70–80,110
kmerprofile,marine,6,70–80,106
nonlinear,marine,5,70–80,1
nonlinear,marine,6,70–80,1
tfidf_umap,marine,5,70–80,114
tfidf_umap,marine,6,70–80,117
poisson,reference,5,70–80,26
poisson,reference,6,70–80,25
kmerprofile,reference,5,70–80,58
kmerprofile,reference,6,70–80,65
nonlinear,reference,5,70–80,21
nonlinear,reference,6,70–80,31
tfidf_umap,reference,5,70–80,130
tfidf_umap,reference,6,70–80,130
poisson,plant,5,80–90,11
poisson,plant,6,80–90,14
kmerprofile,plant,5,80–90,34
kmerprofile,plant,6,80–90,27
nonlinear,plant,5,80–90,0
nonlinear,plant,6,80–90,1
tfidf_umap,plant,5,80–90,28
tfidf_umap,plant,6,80–90,26
poisson,marine,5,80–90,11
poisson,marine,6,80–90,7
kmerprofile,marine,5,80–90,81
kmerprofile,marine,6,80–90,87
nonlinear,marine,5,80–90,0
nonlinear,marine,6,80–90,1
tfidf_umap,marine,5,80–90,96
tfidf_umap,marine,6,80–90,99
poisson,reference,5,80–90,11
poisson,reference,6,80–90,8
kmerprofile,reference,5,80–90,40
kmerprofile,reference,6,80–90,46
nonlinear,reference,5,80–90,8
nonlinear,reference,6,80–90,14
tfidf_umap,reference,5,80–90,107
tfidf_umap,reference,6,80–90,96
poisson,plant,5,90–100,10
poisson,plant,6,90–100,12
kmerprofile,plant,5,90–100,24
kmerprofile,plant,6,90–100,21
nonlinear,plant,5,90–100,0
nonlinear,plant,6,90–100,0
tfidf_umap,plant,5,90–100,19
tfidf_umap,plant,6,90–100,21
poisson,marine,5,90–100,2
poisson,marine,6,90–100,3
kmerprofile,marine,5,90–100,67
kmerprofile,marine,6,90–100,70
nonlinear,marine,5,90–100,0
nonlinear,marine,6,90–100,1
tfidf_umap,marine,5,90–100,74
tfidf_umap,marine,6,90–100,81
poisson,reference,5,90–100,5
poisson,reference,6,90–100,4
kmerprofile,reference,5,90–100,27
kmerprofile,reference,6,90–100,35
nonlinear,reference,5,90–100,1
nonlinear,reference,6,90–100,5
tfidf_umap,reference,5,90–100,69
tfidf_umap,reference,6,90–100,68
