Model,Dataset,Sample,Recall Bin,Count
poisson,plant,5,50–60,19
poisson,plant,6,50–60,20
kmerprofile,plant,5,50–60,49
kmerprofile,plant,6,50–60,44
nonlinear,plant,5,50–60,6
nonlinear,plant,6,50–60,11
tfidf_umap,plant,5,50–60,43
tfidf_umap,plant,6,50–60,41
poisson,marine,5,50–60,45
poisson,marine,6,50–60,40
kmerprofile,marine,5,50–60,159
kmerprofile,marine,6,50–60,157
nonlinear,marine,5,50–60,4
nonlinear,marine,6,50–60,5
tfidf_umap,marine,5,50–60,157
tfidf_umap,marine,6,50–60,170
poisson,reference,5,50–60,48
poisson,reference,6,50–60,44
kmerprofile,reference,5,50–60,84
kmerprofile,reference,6,50–60,86
nonlinear,reference,5,50–60,41
nonlinear,reference,6,50–60,52
tfidf_umap,reference,5,50–60,159
tfidf_umap,reference,6,50–60,161
poisson,plant,5,60–70,13
poisson,plant,6,60–70,19
kmerprofile,plant,5,60–70,47
kmerprofile,plant,6,60–70,40
nonlinear,plant,5,60–70,5
nonlinear,plant,6,60–70,9
tfidf_umap,plant,5,60–70,42
tfidf_umap,plant,6,60–70,38
poisson,marine,5,60–70,32
poisson,marine,6,60–70,29
kmerprofile,marine,5,60–70,126
kmerprofile,marine,6,60–70,120
nonlinear,marine,5,60–70,3
nonlinear,marine,6,60–70,5
tfidf_umap,marine,5,60–70,146
tfidf_umap,marine,6,60–70,152
poisson,reference,5,60–70,28
poisson,reference,6,60–70,23
kmerprofile,reference,5,60–70,65
kmerprofile,reference,6,60–70,66
nonlinear,reference,5,60–70,22
nonlinear,reference,6,60–70,35
tfidf_umap,reference,5,60–70,131
tfidf_umap,reference,6,60–70,130
poisson,plant,5,70–80,12
poisson,plant,6,70–80,19
kmerprofile,plant,5,70–80,41
kmerprofile,plant,6,70–80,34
nonlinear,plant,5,70–80,4
nonlinear,plant,6,70–80,6
tfidf_umap,plant,5,70–80,37
tfidf_umap,plant,6,70–80,34
poisson,marine,5,70–80,28
poisson,marine,6,70–80,22
kmerprofile,marine,5,70–80,101
kmerprofile,marine,6,70–80,95
nonlinear,marine,5,70–80,3
nonlinear,marine,6,70–80,4
tfidf_umap,marine,5,70–80,132
tfidf_umap,marine,6,70–80,133
poisson,reference,5,70–80,13
poisson,reference,6,70–80,13
kmerprofile,reference,5,70–80,55
kmerprofile,reference,6,70–80,58
nonlinear,reference,5,70–80,8
nonlinear,reference,6,70–80,16
tfidf_umap,reference,5,70–80,115
tfidf_umap,reference,6,70–80,103
poisson,plant,5,80–90,11
poisson,plant,6,80–90,18
kmerprofile,plant,5,80–90,32
kmerprofile,plant,6,80–90,24
nonlinear,plant,5,80–90,4
nonlinear,plant,6,80–90,6
tfidf_umap,plant,5,80–90,33
tfidf_umap,plant,6,80–90,32
poisson,marine,5,80–90,24
poisson,marine,6,80–90,17
kmerprofile,marine,5,80–90,83
kmerprofile,marine,6,80–90,88
nonlinear,marine,5,80–90,3
nonlinear,marine,6,80–90,3
tfidf_umap,marine,5,80–90,105
tfidf_umap,marine,6,80–90,110
poisson,reference,5,80–90,8
poisson,reference,6,80–90,8
kmerprofile,reference,5,80–90,45
kmerprofile,reference,6,80–90,42
nonlinear,reference,5,80–90,1
nonlinear,reference,6,80–90,6
tfidf_umap,reference,5,80–90,90
tfidf_umap,reference,6,80–90,76
poisson,plant,5,90–100,10
poisson,plant,6,90–100,17
kmerprofile,plant,5,90–100,23
kmerprofile,plant,6,90–100,21
nonlinear,plant,5,90–100,3
nonlinear,plant,6,90–100,5
tfidf_umap,plant,5,90–100,24
tfidf_umap,plant,6,90–100,23
poisson,marine,5,90–100,22
poisson,marine,6,90–100,15
kmerprofile,marine,5,90–100,66
kmerprofile,marine,6,90–100,78
nonlinear,marine,5,90–100,1
nonlinear,marine,6,90–100,3
tfidf_umap,marine,5,90–100,76
tfidf_umap,marine,6,90–100,74
poisson,reference,5,90–100,4
poisson,reference,6,90–100,4
kmerprofile,reference,5,90–100,37
kmerprofile,reference,6,90–100,37
nonlinear,reference,5,90–100,0
nonlinear,reference,6,90–100,2
tfidf_umap,reference,5,90–100,66
tfidf_umap,reference,6,90–100,54
